"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
6.794838292E0,2.514317714E-1,1.498885785E0,9.691554122E0
6.814738292E0,2.424595479E-1,1.456387199E0,9.698260294E0
6.834638292E0,2.067900889E-1,1.394155283E0,9.708226873E0
6.854537292E0,1.751096918E-1,1.327707524E0,9.718159538E0
6.874437292E0,1.853755569E-1,1.271697630E0,9.725457448E0
6.894337292E0,2.539431871E-1,1.228642388E0,9.729442325E0
6.914237292E0,3.397324753E-1,1.190499393E0,9.731566619E0
6.934136292E0,4.023727464E-1,1.150144615E0,9.734031220E0
6.954036292E0,4.380750778E-1,1.097015278E0,9.738621284E0
6.973936292E0,4.419044558E-1,1.042829642E0,9.744399503E0
6.993836292E0,4.199683705E-1,9.874000845E-1,9.751141927E0
7.013735750E0,3.949466364E-1,9.280529653E-1,9.758014160E0
7.033635750E0,3.954292144E-1,8.691291113E-1,9.763418741E0
7.053535750E0,4.441506272E-1,8.181865606E-1,9.765726053E0
7.073435750E0,5.390554688E-1,7.855591703E-1,9.763626902E0
7.093334750E0,6.419737733E-1,7.570545056E-1,9.759653719E0
7.113234750E0,7.273824444E-1,7.152011593E-1,9.756818404E0
7.133134750E0,8.203779508E-1,6.628269178E-1,9.753139921E0
7.153034750E0,9.293133326E-1,6.247465604E-1,9.745879433E0
7.172933750E0,1.024932996E0,6.125561025E-1,9.737062417E0
7.192833750E0,1.090274754E0,6.085749891E-1,9.730212404E0
7.212733750E0,1.129276413E0,5.905337342E-1,9.726875398E0
7.232633750E0,1.157480020E0,5.629944813E-1,9.725193154E0
7.252532750E0,1.219901897E0,5.425557583E-1,9.718722625E0
7.272432750E0,1.288660110E0,5.349985975E-1,9.710264043E0
7.292332750E0,1.329067732E0,5.343519685E-1,9.704851860E0
7.312232750E0,1.358387718E0,5.461239485E-1,9.700135496E0
7.332131750E0,1.394206007E0,5.590621923E-1,9.694314592E0
7.352031750E0,1.460471625E0,5.311025977E-1,9.686126736E0
7.371931750E0,1.477922055E0,4.985984741E-1,9.685207554E0
7.391831750E0,1.456898976E0,4.357959062E-1,9.691420221E0
7.411730750E0,1.416070062E0,3.138691441E-1,9.702182021E0
7.431630750E0,1.368250071E0,1.514268604E-1,9.712932712E0
7.451530750E0,1.354260315E0,-1.047364303E-3,9.716073251E0
7.471430750E0,1.360909768E0,-1.614494996E-1,9.713802778E0
7.491329750E0,1.349147071E0,-3.284479704E-1,9.711231757E0
7.511229750E0,1.367529401E0,-4.690322109E-1,9.702884856E0
7.531129750E0,1.468245644E0,-5.709488873E-1,9.682683896E0
7.551029750E0,1.606261130E0,-6.436147213E-1,9.656178467E0
7.570928750E0,1.699448352E0,-7.058409365E-1,9.635858223E0
7.590828750E0,1.719717287E0,-7.698070637E-1,9.627360465E0
7.610728750E0,1.682165444E0,-8.317846260E-1,9.628839810E0
7.630628750E0,1.620141397E0,-8.818797690E-1,9.635015640E0
7.650527750E0,1.542829950E0,-9.245381308E-1,9.643702848E0
7.670427750E0,1.475787968E0,-9.664568198E-1,9.650083330E0
7.690327750E0,1.463355764E0,-1.010907061E0,9.647422262E0
7.710226750E0,1.500635126E0,-1.042404769E0,9.638339197E0
7.730126750E0,1.560335490E0,-1.047554924E0,9.628296019E0
7.750026750E0,1.632917855E0,-1.040153152E0,9.617055917E0
7.769926750E0,1.684959975E0,-1.036235445E0,9.608497347E0
7.789825750E0,1.676305950E0,-1.041587694E0,9.609432317E0
7.809725750E0,1.613372514E0,-1.043927019E0,9.619945026E0
7.829625750E0,1.551785984E0,-1.036569686E0,9.630866455E0
7.849525750E0,1.522730146E0,-1.023217058E0,9.636930018E0
7.869424750E0,1.512515791E0,-1.004437263E0,9.640513777E0
7.889324750E0,1.504893799E0,-9.779311766E-1,9.644430826E0
7.909224750E0,1.515975150E0,-9.468684281E-1,9.645794982E0
7.929124750E0,1.543847365E0,-9.141875359E-1,9.644526721E0
7.949023750E0,1.548597205E0,-8.808468584E-1,9.646867946E0
7.968923750E0,1.521744013E0,-8.467786411E-1,9.654188660E0
7.988823750E0,1.488637078E0,-8.091268846E-1,9.662575906E0
8.008723667E0,1.457219988E0,-7.638141793E-1,9.671049691E0
8.028622667E0,1.435552400E0,-7.078180262E-1,9.678547575E0
8.048522667E0,1.430679769E0,-6.405561159E-1,9.683952742E0
8.068422667E0,1.430183486E0,-5.629223778E-1,9.688849200E0
8.088322667E0,1.420819902E0,-4.832946662E-1,9.694523923E0
8.108221667E0,1.394208346E0,-4.027794203E-1,9.702064492E0
8.128121667E0,1.355151431E0,-3.167436353E-1,9.710784445E0
8.148021667E0,1.304253319E0,-2.344529555E-1,9.720085026E0
8.167921667E0,1.238215596E0,-1.701156580E-1,9.730055698E0
